name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories,raw_modalities,types
Sunrise to Sunset Fitness Hub,ChIJaZ7FZJsTLxgRci_Oxo7gHak,"Outer Ring Rd, Nairobi, Kenya",,-1.3098382,36.8900912,,https://maps.google.com/?cid=12186143070559809394,4.8,(9),martial-arts,kickboxing,establishment; gym; health; point_of_interest
Fitness16 Powerhouse Gym,ChIJVSttKuxHLxgRkjpw-ryxZ0U,"Juja South Road, Juja, Kenya",,-1.1042108,37.0294142,https://www.fitness16.com/,https://maps.google.com/?cid=5001161336431852178,4.9,(11),martial-arts,kickboxing,establishment; gym; health; point_of_interest
Khaligraph Gym Fitness and Aerobics,ChIJ-Znd1zQTLxgRCbbQNJsIbDE,"Quarry road, Nairobi, Kenya",,-1.3194255,36.8913716,,https://maps.google.com/?cid=3561230868042266121,5,(4),martial-arts,kickboxing,establishment; health; point_of_interest
Kachapil fitness gym,ChIJ_ebrfmUXLxgRFjYyYltBSuU,"Park Rd, Nairobi, Kenya",,-1.2745377,36.8313852,,https://maps.google.com/?cid=16522090043707373078,5,(1),martial-arts,kickboxing,establishment; gym; health; point_of_interest
BLUE SKY GYM,ChIJk_xRlqcTLxgRkDWgiS_IRdM,"Embakasi, Tassia 2, Near Baraka Estate, Nairobi, Kenya",Embakasi,-1.3001805,36.9096333,,https://maps.google.com/?cid=15223794221893825936,4.2,(12),martial-arts,kickboxing,establishment; gym; health; point_of_interest
Bena Coaches,ChIJtWlPeIEdLxgRnVKMyZmVjkE,"Ngong road, Nairobi, Kenya",Ngong Road,-1.3354008,36.6893383,,https://maps.google.com/?cid=4723877546902180509,5,(1),martial-arts,kickboxing,establishment; health; point_of_interest
"Krav-Maga, Boxe Thaï, Jjb Paris",ChIJEfVHc1Jw5kcRmQKjO-u3jdQ,"58 Rue Maurice Ripoche, 75014 Paris, France",,48.833407,2.3230731,https://www.krav-paris.fr/,https://maps.google.com/?cid=15316100128702661273,5,(38),martial-arts,krav-maga,establishment; gym; health; point_of_interest
Krav Maga Coaching,ChIJv9FaaWxw5kcRUSrq4x6IybU,"1 Rue Lacretelle, 75015 Paris, France",,48.83384299999999,2.291135,https://www.kravmagaparis.com/,https://maps.google.com/?cid=13099150657437968977,4.9,(45),martial-arts,krav-maga,establishment; gym; health; point_of_interest
Course Krav Maga Paris,ChIJd15qUC5x5kcRlDd8WDDmUEE,"15 Rue des Suisses, 75014 Paris, France",,48.83016569999999,2.313691,http://www.mycoachkravmaga.com/,https://maps.google.com/?cid=4706514705919522708,5,(17),martial-arts,krav-maga,establishment; health; point_of_interest
Kundalini Yoga Studio,ChIJH-4wc2AoQg0ReJi0yvop5l0,"Calle de Ruiz, 7, 2do izq, Centro, 28004 Madrid, Spain",,40.4278968,-3.7040694,http://www.studio-kundaliniyoga.com/,https://maps.google.com/?cid=6766141647290144888,5,(138),yoga,kundalini-yoga,establishment; gym; health; point_of_interest
Salsa lounge,ChIJxZVFF2AXLxgRIsJk6WCvtPo,"PRQR+FWW, A2, Nairobi, Kenya",,-1.2612596,36.8423378,,https://maps.google.com/?cid=18065256836057317922,4.4,(382),dance,latin-dance; salsa-dance,bar; establishment; point_of_interest
Salsamology Dance Academy,ChIJSRR9og4ANowRylSVvjQ1k9c,"59 Eastern Main Road, Arouca, Trinidad and Tobago",,10.6356183,-61.3438245,https://linktr.ee/salsamology,https://maps.google.com/?cid=15533818040383001802,4.7,(16),dance,latin-dance,establishment; point_of_interest
Koech properties ltd,ChIJx7HoT8oRLxgRgKnZYdglY7g,"Nairobi mbagathi road, Nairobi, Kenya",,-1.3092186,36.8019989,,https://maps.google.com/?cid=13286504936957913472,,,dance,latin-dance; salsa-dance,establishment; point_of_interest
Intensive Training Institute,ChIJz3c1NZcQLxgRrFK1d0fd6dQ,"Upperhill office suites, Nairobi, Kenya",,-1.2998053,36.8200428,http://www.intensivetraining.co.ke/,https://maps.google.com/?cid=15342036904635093676,5,(6),low-impact-training,low-impact-training,establishment; point_of_interest
Impact Chef and Hospitality Academy,ChIJpxR_8rkRLxgRP4Hyl1YQvN4,"Impact Chefs & Hospitality Academy, South Gate Center, Mukoma Rd, Nairobi, Kenya",,-1.3109135,36.8359566,https://www.google.com/url?sa=t&source=web&rct=j&url=https://impactchefsacademy.com/&ved=2ahUKEwj74Yf2vsD1AhU08uAKHVqQBK4QFnoECCkQAQ&usg=AOvVaw3rbooLGoebwKSiR0nTLAAU,https://maps.google.com/?cid=16049721136144089407,4.9,(83),low-impact-training,low-impact-training,establishment; point_of_interest; university
