name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories_google,categories_verified,categories_source,verification_status,verification_confidence,types
Core Balance Studio,ChIJM5bAWVkXLxgRp3_hOsqR0vU,"Spring Valley Business Park Block A, 3rd Floor, Nairobi, Kenya",Spring Valley,-1.2498658,36.7856633,https://corebalancestudio.co.ke/,https://maps.google.com/?cid=17713380582158860199,4.3,(12),barre; pilates; reformer-pilates; strength-training,reformer-pilates; strength-training; pilates,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Reformer Pilates Training Institute,ChIJg5c5G24bLxgRa7awCMs8FHA,"4th Floor Suite, East Wing, The GreenHouse Mall, 22 Ngong Rd, Nairobi, Kenya",Ngong,-1.3005667,36.7817941,https://www.reformerpilatestraininginstitute.co.ke/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=1628227440902263452,https://maps.google.com/?cid=8076146874503968363,,,barre; pilates; reformer-pilates; strength-training,reformer-pilates; pilates; strength-training,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
TechCamp Kenya,ChIJQ7Ynx9kRLxgRZ_tzYOV1V_4,"Corner House Building, Kimathi St, Nairobi, Kenya",,-1.2851098,36.8237387,https://www.techcamp.co.ke/,https://maps.google.com/?cid=18327246836633697127,4.9,(62),hiit-bootcamp,hiit-bootcamp,fallback_original,approved,0.875,establishment; point_of_interest
Inceptor Institute Of Technologies,ChIJ42UjklsXLxgRsk8Gm9EZZ5A,"Hazina Towers, Utalii Ln, Nairobi, Kenya",,-1.2831968,36.8166506,http://inceptor.co.ke/,https://maps.google.com/?cid=10405313852102561714,4.9,(480),hiit-bootcamp,hiit-bootcamp,fallback_original,approved,0.875,establishment; point_of_interest
Upfit Gym Ltd,ChIJe_ANpbQRLxgRaieeR895fKQ,"Galana Plaza, Galana Road, Off, 4th Floor Argwings Khodeck, Nairobi, Kenya",,-1.290962,36.7826569,http://www.upfitgym.co.ke/,https://maps.google.com/?cid=11852482250499041130,4.8,(51),hiit-bootcamp; strength-training; cycling; fitness; gym-time; outdoors; personal-training; dance,strength-training; gym-time; personal-training; fitness; dance,website_extracted,approved,0.75,establishment; gym; health; point_of_interest
Adan Xavi Fitness,ChIJnXDRoYs_LxgRd0hmhp1ZqLY,"Westland, Nairobi, Kenya",,-1.2551126,36.8024548,https://youtu.be/RpWSuJHFqog?si=pUq5v0uSzfcHKix3,https://maps.google.com/?cid=13161868444089862263,5,(49),hiit-bootcamp; boxing; martial-arts; personal-training,boxing; martial-arts; personal-training,website_extracted,approved,0.875,establishment; health; point_of_interest
Moringa School,ChIJie7bKEsRLxgR_uOoJCM2T5Y,"1st Floor Ngong Ln, Nairobi, Kenya",Ngong,-1.3005626,36.784478,https://moringaschool.com/,https://maps.google.com/?cid=10830935153416135678,4.7,(219),hiit-bootcamp,hiit-bootcamp,fallback_original,approved,0.875,establishment; point_of_interest
eMobilis Technology Training Institute,ChIJd2eP0kEXLxgREqkNm1W7nsg,"3rd, Kippro Center, Opposite Parklands Baptist Church Sports Rd, Nairobi, Kenya",Parklands,-1.2647608,36.8007156,https://www.emobilis.ac.ke/,https://maps.google.com/?cid=14456197830253848850,4.7,(113),hiit-bootcamp,hiit-bootcamp,fallback_original,approved,0.875,establishment; point_of_interest; university
Berry Personal Trainer,ChIJgXzDq8UbLxgRK2DMSFJRbUk,"Karen, Nairobi, Kenya",Karen,-1.3204109,36.7042037,http://www.berryfitnessforhealth.com/,https://maps.google.com/?cid=5290974551080722475,4.9,(70),hiit-bootcamp; boxing; personal-training; strength-training,personal-training; strength-training; boxing,website_extracted,approved,0.875,establishment; health; point_of_interest
ADUS FIT CLUB KASARANI,ChIJUwNp0-EVLxgRyB6HO_Cn4Jk,"QWFG+746 Servco, Nairobi, Kenya",,-1.2313176,36.9242273,https://adusfitclub.co.ke/,https://maps.google.com/?cid=11088046932818861768,4.8,(186),hiit-bootcamp; boxing; fitness; strength-training; dance,strength-training; fitness; dance,website_extracted,approved,0.75,establishment; gym; health; point_of_interest
