name,address,website
Tuzidi Fitness,"00603, York Palace, Muthangari Gardens, Nairobi, Kenya",https://tuzidifitness.com/
Urban Fitness Gym,"Kibera Dr, Nairobi City, Kenya",http://www.urban-fitness.biz/
Bicycle.co.ke - Kids bicycle store | Mountain Bicycle shop | Bicycle shop Nairobi Kenya,"Jaza supermarket, Nairobi, Kenya",http://www.bicycle.co.ke/
Glolinkbicycles,"Dubois Rd, Nairobi, Kenya",http://glolinkbicycles.co.ke/
Baiskeli Centre,"Kipande Rd, Nairobi, Kenya",https://baiskelicentre.co.ke/
Zuzu Bike Shop & service center,"Gigiri, Nairobi, Kenya",http://zuzubikeshop.com/
iNFiNiTY Baisikeli,"Gitanga Box Park, 1148 Gitanga Rd, Nairobi, Kenya",https://www.infinity.ke/
NAIROBI MART WHOLESALERS,"Okoth Aura Rd, Nairobi, Kenya",https://www.nairobimartwholesalers.co.ke/
The Bike Village,"one stop centre, Bunyala Rd, Nairobi, Kenya",http://www.bikevillage.co.ke/
Pedalling Powerhouse,"Murang'a Rd, Nairobi, Kenya",https://www.facebook.com/Peddalling-powerhouse-1156690657686024/
eBee Kenya,"house number 1, Hospihome, Chaka Rd, Nairobi, Kenya",http://www.ebee.africa/
Cycloville Kenya,"Nairobi, Kenya",http://www.cycloville.co.ke/
Cycloville Kenya CBD,"5th floor shop No K14, Kenya house Complex, Koinange St, Nairobi, Kenya",http://www.cycloville.co.ke/
"Cycling Accessories and Parts Bike shop Ruiru , Nairobi","Embly Business park, Ruiru, Kenya",https://www.sportshouse.co.ke/
Marzel Bikes Enterprise,"Nairobi, Ruiru, Kenya",https://marzelbikes.co.ke/
JUA ebike,"87 Rhapta Road, Nairobi, Kenya",https://jua.bike/
Custom Spokes Limited,"PR8H+PF2, 87 River Rd, Nairobi, Kenya",https://customspokes.co.ke/
Hiking Adventures by Lets Drift,"General Mathenge Drive, Nairobi, Kenya",https://letsdrift.co.ke/
Prime Cycle Services,"New Kereita Building, Ground Floor, Behind Guaca Stationers, PRCF+5HX, Kirinyaga Rd, Nairobi, Kenya",http://www.primecycleservices.com/
Bike Centre Kenya - Online Bicycle Shop & Repair Shop,"Nairobi, Kenya",http://bike.co.ke/
Run Beyond Limited,"Warwick Centre, United Nations Ave, Nairobi, Kenya",http://www.runbeyond.co.ke/
Canaryfitness,"Equity Roundbout, opposite TORONTO General Wariungi, Nairobi, Kenya",https://www.canary.fitness/
Jacaranda Gym and Spa,"Jacaranda Hotel, Woodvale Cl, Nairobi, Kenya",https://www.jacarandahotels.com/nairobi/gym-and-spa
FitSpot Gym,"Kikuyu - Nderi Road, Rungiri, Kenya",https://fitspotgym.com/
Barndit fitness,"Westlands, Nairobi, Kenya",https://barndits.com/
"Afrofit GymStore | Nairobi, Rainbow Plaza, Ngara","Rainbow Plaza, Off Kipande Rd, Nairobi, Kenya",http://www.afrofit.co.ke/
