name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories_google,categories_verified,categories_source,verification_status,verification_confidence,types,scan_errors
TRM - Thika Road Mall,ChIJZ4pnVck_LxgRKpesRnfgMCw,"Nairobi, Kenya",,-1.2195761,36.88842440000001,https://www.trm.co.ke/,https://maps.google.com/?cid=3184291739442386730,4.4,(29224),gym-time,gym-time,fallback_original,rejected,0.25,establishment; furniture_store; home_goods_store; point_of_interest; shopping_mall; store,[object Object]
Royal Nairobi Golf Club,ChIJ0csNd5EQLxgRTJa63X3DI8Y,"Ngong Rd, Nairobi, Kenya",Ngong,-1.301267,36.797323,http://www.royalnairobigc.com/,https://maps.google.com/?cid=14277470189052925516,4.5,(2690),gym-time,gym-time,website_extracted,rejected,0.25,bar; establishment; food; gym; health; point_of_interest; restaurant; spa,
7outdoor-lordes,ChIJuzrtm2BtLxgREA7AWX7E75w,"HH TOWER, Nairobi, Kenya",,-1.2833752,36.8232181,https://7outdoorlordes.com/,https://maps.google.com/?cid=11308473236301286928,4.8,(198),boxing; outdoors,boxing; outdoors,fallback_original,rejected,0,establishment; point_of_interest; store,
JDHAA | home_254,ChIJTRGE9c4WLxgRfOenfrsf-t8,"COLLEGE HOUSE 1, Ground Floor University Wy, Nairobi, Kenya",,-1.2810384,36.816945,http://www.homeapparel254.com/,https://maps.google.com/?cid=16139247104779872124,4.5,(425),boxing,boxing,fallback_original,rejected,0,clothing_store; establishment; point_of_interest; store,
Osona Yarns,ChIJV0-TTcsRLxgRjYijsPsUtJY,"Caxton House, ground floor, koinange street opposite Huduma centre round gpo, Dynamic mall, ground floor SL 16, opposite ambassador Hotel Tom Mboya Street, Nairobi, Kenya",,-1.2859854,36.8198067,http://www.osonayarns.com/,https://maps.google.com/?cid=10859327672729962637,4.9,(510),boxing,boxing,fallback_original,rejected,0.25,establishment; point_of_interest; store,
Lexy Worldwide Store,ChIJ_bGens0RLxgRhGvupW1Hwko,"Nairobi, Kenya",,-1.281828,36.8254611,http://www.facebook.com/lexyworldwide/store,https://maps.google.com/?cid=5386946640549407620,5,(4),boxing,boxing,fallback_original,rejected,0.25,establishment; point_of_interest; store,[object Object]
Shopit,ChIJUfLUW9YQLxgR5sJu7k79d4s,"International House, 8th floor Mama Ngina St, Nairobi, Kenya",,-1.2858173,36.8237324,https://shopit.co.ke/,https://maps.google.com/?cid=10049779608950063846,3.9,(127),boxing,boxing,fallback_original,rejected,0.25,electronics_store; establishment; health; point_of_interest; store,[object Object]
Naivas Supermarket - Moi Avenue Nairobi,ChIJ4avudNYQLxgRVi7l2ITlY1c,"Moi Avenue Opposite Imenti House Junction of Kenyatta Avenue and, Moi Ave, Nairobi, Kenya",,-1.2836592,36.8236195,https://naivas.online/,https://maps.google.com/?cid=6297129062731427414,4.3,(7304),boxing,boxing,fallback_original,rejected,0.25,establishment; food; grocery_or_supermarket; point_of_interest; store; supermarket,[object Object]
Westgate Shopping Mall,ChIJHahFUm0XLxgRRNKY1sbJgGk,"18 Mwanzi Rd, Nairobi, Kenya",,-1.2569454,36.8036672,https://www.westgate.co.ke/,https://maps.google.com/?cid=7602298026842444356,4.5,(16393),boxing,boxing,fallback_original,rejected,0,establishment; point_of_interest; shopping_mall,
Naivas Foodmarket - Westlands,ChIJ-w8MDkAXLxgR5uRyZ-I0VKI,"Waiyaki Wy, Nairobi, Kenya",,-1.2647819,36.8026876,https://naivas.online/,https://maps.google.com/?cid=11697032279190856934,4.3,(7824),boxing,boxing,fallback_original,rejected,0.25,establishment; food; grocery_or_supermarket; point_of_interest; store; supermarket,[object Object]
"Naivas Supermarket - Survey, Thika Rd",ChIJpYU5s9QVLxgRUXmpHc_hJZE,"Near Top Brass Building, QV2C+QG, Outer Ring Rd, Nairobi, Kenya",,-1.2495045,36.8615193,https://naivas.online/,https://maps.google.com/?cid=10459013989309970769,4.3,(4235),boxing,boxing,fallback_original,rejected,0.25,establishment; food; grocery_or_supermarket; point_of_interest; shopping_mall; store; supermarket,[object Object]
Naivas Foodmarket - Capital Centre,ChIJh-tZma8RLxgRXoQelRHB_ms,"Capital Centre, Mombasa Road, Nairobi, Kenya",,-1.3166543,36.8345953,https://naivas.online/,https://maps.google.com/?cid=7781869487403205726,4.4,(4998),boxing,boxing,fallback_original,rejected,0.25,establishment; food; grocery_or_supermarket; point_of_interest; store; supermarket,[object Object]
Carrefour Sarit Center,ChIJNaaha2sXLxgR1qySr_PDa8w,"Sarit Center, Karuna Rd, Nairobi, Kenya",,-1.2608784,36.8016686,http://www.carrefourkenya.com/,https://maps.google.com/?cid=14730082457635433686,4.5,(6299),boxing,boxing,fallback_original,rejected,0.25,establishment; food; grocery_or_supermarket; point_of_interest; store; supermarket,[object Object]
