business name,owner/manager,contact email,city,website,business type (modality),estimated_opening_date
Trenchtown Boxing Gym,,,London,http://www.trenchtownboxing.com/,boxing,2025-05-14
Wellnest,,,London,http://www.wellnest.london/,"strength-training, dance, low-impact-training, pilates, yoga, reformer-pilates",2024-07-02
xy-studio-chancery-lane-london,,,London,https://xystudiolondon.com/,dance,2024-08-10
Yoga Yurtopia,,,London,https://www.yogayurtopia.com/,yoga,2024-05-13
Yogilu Yoga,,,London,https://www.yogilu.com/,yoga,2025-01-15
Yogilu Yoga,,,London,https://www.yogilu.com/,yoga,2025-01-15
Yogilu Yoga,,,London,https://www.yogilu.com/,yoga,2025-01-15
Yoke,,,London,https://yokespace.com/,"barre, pilates, reformer-pilates, running, yoga",2025-02-28
YoMedS Healing,,,London,https://www.yomedshealing.com/,yoga,2024-10-05
ZAO Wellness Studios,,,London,https://www.zaoswellness.com/,"strength-training, cycling, pilates, hiit-bootcamp, yoga, reformer-pilates, stretching",2024-06-23
